movieName,Metascore_w,Author,AuthorHref,Date,Summary,InteractionsYesCount,InteractionsTotalCount,InteractionsThumbUp,InteractionsThumbDown
pirates-of-the-caribbean-dead-men-tell-no-tales,8,Tony1984,/user/Tony1984,"May 29, 2017","[ ""A big improvement on number 4 and definitely a return to form. The pluses are as expected - Captain Jack, the comedy and the huge range of amazing special effects and CGI. The minuses ,and what I think accounts for the critics low scores, were the new characters..The two  new additions and Javier Bradem's baddie were not super captivating for me..but still OK. All in all a typical fun Pirate movie."", ""If possible see this movie in 3D for the special effects."" ]",3.0,5.0,3.0,2.0
war-for-the-planet-of-the-apes,7,Tony1984,/user/Tony1984,"Jul 18, 2017","[ ""The special effects, costume and makeup department really outdid themselves on this movie and deserve Oscars. Woody Harrelson channels Robert Duvall in Apocalypse Now. Andy Serkis is wonderful as Caesar. The apes are visually amazing and very sympathetically played.  The rest is variable. You are left in no doubt who you should be cheering for, the apes not the humans. It’s a bit over simplistic with the good bad guy narrative. The story has large plot holes, weak writing. Some crude anti Trump anti America messaging , exceptionally lazy weak writing. A bit over long in the middle, weak editing. Good but not great...."" ]",2.0,3.0,2.0,1.0
the-mummy-2017,10,Tony1984,/user/Tony1984,"Jun 27, 2017","[ ""Let’s do a checklist. Great actors? check -Tom Cruise and Russell Crowe. Hot Actors? check, very hot, a blonde and a brunette...mucho gracias.. Good Plot? Yip.. little Raiders of the Lost Arkie going on. Stunts? Lots..Tom C does his own. Good CGI fantasy?Tons and Tons...Nuff for any fantasy addict.. Enjoyable? Very ...Will there be a sequel? Guaranteed.. Why such negative reviews? Sad people with empty bitter unhappy lives who didn't even go see the movie."" ]",1.0,2.0,1.0,1.0
alien-covenant,10,Tony1984,/user/Tony1984,"May 23, 2017","[ ""It’s not a 10, more an 8, but the 6.2 has to rectified in some little way. Covenant is superb and deserves to be recognised as such and is being unfairly slighted by reviewers."", ""Ridley Scott is one of the greatest directors of all time and the quality shows here. The CGI is magnificent, especially the space shots...Miles ahead of anything else. Its casting is outstanding, everyone fits perfectly, especially Fassbender who might get an award for this one. The Guy Pearce and James Franco cameos are a nice touch too.The crew are not soldiers, why would they be?, and no match for the Xenomorph. Brutal and visceral as you would expect but not gratuitously so...Sure the storyline has a few holes and the gravity issue is a bug bear but it’s still excellent."", ""There are 4 more of these in the pipeline, Awesome Ridley, just Awesome."" ]",18.0,36.0,18.0,18.0
logan-2017,7,Tony1984,/user/Tony1984,"Jul  1, 2017","[ ""Hugh Jackman's swansong as the Wolverine in an X Men flick is good, not amazing, just good. Its very hard to critique without spoilers but let us say that it was a good enough movie to end on. It has it's flaws, very slow in the middle and the violence quota is really far too high, being two for example. But overall very satisfying in its realism and its moral narrative. I got a big Mad Max 2/3 vibe from this movie. Deserving of a 7 but only barely."" ]",1.0,1.0,1.0,0.0
allied,7,Tony1984,/user/Tony1984,"Jan  5, 2017","[ ""If you can manage to avoid seeing the trailer or any spoiler in the review section then you are in for a treat with this wartime love/thriller saga. Pitt and Cotillard are magnificent. The production and scenery shots are beautiful, especially in Morocco."", ""Reminiscent of Casablanca, Inglorious Bastards and a touch of Alec Guinness with a poignancy drenched ending which was sad but perfectly fitting. Only real dud note was Max's sister, who was pointlessly shoehorned in, and added nothing."" ]",1.0,2.0,1.0,1.0
ghost-in-the-shell-2017,7,Tony1984,/user/Tony1984,"Oct 13, 2017","[ ""A Hollywood take on an Anime based on Manga. Dystopian fantasy Cyberpunk which pays homage to Blade Runner especially, which is no bad thing. It even feels quite like Lucy, a previous Scarlett movie with similar themes. It’s quite chaotic and not everything fits. Some miscasting, (even Scarlett?). Weak dialogues, the great sin of mumbling in a multi-million dollar production, overwrought over complicated story arcs and lacking in anything especially original, the morality and philosophical nature of cybernetics is not well addressed either. Too black and white. All that said, the Cyberpunk feel is excellent and we do get Scarlett in a  spray suit. I’d re watch again and that for me is high praise."" ]",0.0,0.0,0.0,0.0
doctor-strange,9,Tony1984,/user/Tony1984,"Nov 23, 2016","[ ""A great origin story with just the right amount of engaging characters and an easily followed story. Marvel can confusingly over-pack its movies sometimes but not here. Great casting, direction, cinematography and special effects. Everything fits well and Cumberbatch's easy humour is right on note."" ]",1.0,2.0,1.0,1.0
wonder-woman,8,Tony1984,/user/Tony1984,"Oct 13, 2017","[ ""I'm giving an 8 for entertainment value as opposed to quality. The technical quality is excellent as you expect but are there a few obvious flaws.The main one being Gil Gadot, She's no Shakespearean actress and for the first bit of the movie is seriously wooden. The plot and dialogue is very one dimensional at the beginning also, school play standard to be honest....but the whole thing really grows on you as it progresses and is extremely entertaining in and of itself. Its an origin story and a morality tale ,  one with holes, but it’s fantasy after all so I wouldn't be too concerned about that. Chris Pine is the best I've seen him, He really is a good actor when given the opportunity.."" ]",0.0,0.0,0.0,0.0
london-has-fallen,8,Tony1984,/user/Tony1984,"Apr  8, 2016","[ ""London has Fallen doesn't seek to lead the audience up the garden path. It very obviously advertises itself as destructive action with a simple good guy bad guy message, a dollop of patriotism and a little smaltz. Perfect rainy day feel good flick.  Its neither cerebral nor nuanced. But then again neither are the mass of negative reviewers. What did they expect?  Did they watch the trailer ? Who goes to a movie knowing they won't enjoy it ? Whats wrong with some people ?"" ]",3.0,3.0,3.0,0.0
